[2026-04-21 02:02:39 UTC] [0002] 2026-03-23 12:02 C=1.15544 | R_MASTER_RESET
[2026-04-21 02:02:39 UTC] [0002] 2026-03-23 12:02 C=1.15544 | HARMONIC_TRAP phi=2.116
[2026-04-21 02:02:39 UTC] [0002] 2026-03-23 12:02 C=1.15544 | KL_FRACTURE score=3.227
[2026-04-21 02:02:39 UTC] [0002] 2026-03-23 12:02 C=1.15544 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:39 UTC] [0003] 2026-03-23 12:03 C=1.15577 | R_MASTER_RESET
[2026-04-21 02:02:39 UTC] [0003] 2026-03-23 12:03 C=1.15577 | HARMONIC_TRAP phi=3.142
[2026-04-21 02:02:39 UTC] [0003] 2026-03-23 12:03 C=1.15577 | KL_FRACTURE score=2.535
[2026-04-21 02:02:39 UTC] [0003] 2026-03-23 12:03 C=1.15577 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:40 UTC] [0004] 2026-03-23 12:04 C=1.15603 | R_MASTER_RESET
[2026-04-21 02:02:40 UTC] [0004] 2026-03-23 12:04 C=1.15603 | HARMONIC_TRAP phi=2.864
[2026-04-21 02:02:40 UTC] [0004] 2026-03-23 12:04 C=1.15603 | KL_FRACTURE score=2.624
[2026-04-21 02:02:40 UTC] [0004] 2026-03-23 12:04 C=1.15603 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:40 UTC] [0005] 2026-03-23 12:05 C=1.15482 | R_MASTER_RESET
[2026-04-21 02:02:40 UTC] [0005] 2026-03-23 12:05 C=1.15482 | KL_FRACTURE score=10.229
[2026-04-21 02:02:40 UTC] [0005] 2026-03-23 12:05 C=1.15482 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:41 UTC] [0006] 2026-03-23 12:06 C=1.15517 | R_MASTER_RESET
[2026-04-21 02:02:41 UTC] [0006] 2026-03-23 12:06 C=1.15517 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:41 UTC] [0006] 2026-03-23 12:06 C=1.15517 | KL_FRACTURE score=8.843
[2026-04-21 02:02:41 UTC] [0006] 2026-03-23 12:06 C=1.15517 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:41 UTC] [0007] 2026-03-23 12:07 C=1.15516 | R_MASTER_RESET
[2026-04-21 02:02:41 UTC] [0007] 2026-03-23 12:07 C=1.15516 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:41 UTC] [0007] 2026-03-23 12:07 C=1.15516 | HARMONIC_TRAP phi=1.785
[2026-04-21 02:02:41 UTC] [0007] 2026-03-23 12:07 C=1.15516 | KL_FRACTURE score=7.960
[2026-04-21 02:02:41 UTC] [0007] 2026-03-23 12:07 C=1.15516 | TOPO_FRACTURE h1=10.00
[2026-04-21 02:02:42 UTC] [0008] 2026-03-23 12:08 C=1.15589 | R_MASTER_RESET
[2026-04-21 02:02:42 UTC] [0008] 2026-03-23 12:08 C=1.15589 | FVG BEARISH_FVG eq=1.15551
[2026-04-21 02:02:42 UTC] [0008] 2026-03-23 12:08 C=1.15589 | HARMONIC_TRAP phi=2.454
[2026-04-21 02:02:42 UTC] [0008] 2026-03-23 12:08 C=1.15589 | KL_FRACTURE score=7.104
[2026-04-21 02:02:42 UTC] [0008] 2026-03-23 12:08 C=1.15589 | TOPO_FRACTURE h1=10.00
